epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4466.96,0.85513,2.9426,0.01987,0.78884,0.80268,0.88016,0.70521,0.75531,4.36998,0.02766,0.000253485,0.000253485,0.000253485
2,4809.02,0.91773,2.62879,0.02145,0.79259,0.8196,0.89675,0.69299,0.84965,3.60382,0.03142,0.000497201,0.000497201,0.000497201
3,5177.23,0.97985,2.38162,0.0231,0.8148,0.82413,0.89362,0.68494,0.84422,2.88662,0.03189,0.000728227,0.000728227,0.000728227
4,5542.09,1.02079,2.13683,0.0243,0.79113,0.80507,0.88967,0.64013,0.99348,2.40124,0.03863,0.000711902,0.000711902,0.000711902
5,5855.68,1.00372,1.9078,0.02372,0.83124,0.85528,0.9174,0.68787,0.91006,1.79391,0.03504,0.000692869,0.000692869,0.000692869
6,6158.94,1.00165,1.63133,0.02363,0.85107,0.85892,0.93511,0.70222,0.91049,1.42744,0.03515,0.000673836,0.000673836,0.000673836
7,6463.41,0.98166,1.45565,0.02307,0.85886,0.88489,0.93167,0.72519,0.80527,1.14893,0.03024,0.000654804,0.000654804,0.000654804
8,6767.9,0.99641,1.35486,0.02333,0.84624,0.88937,0.93622,0.73868,0.78769,1.00076,0.02911,0.000635771,0.000635771,0.000635771
9,7068.21,0.98954,1.31411,0.02313,0.8652,0.8213,0.93453,0.73737,0.81568,0.92135,0.03051,0.000616738,0.000616738,0.000616738
10,7389.5,0.97901,1.23895,0.02237,0.91368,0.87599,0.95645,0.7312,0.87485,0.78939,0.0337,0.000597705,0.000597705,0.000597705
11,7689.14,0.95888,1.16174,0.02234,0.9101,0.90902,0.96333,0.77953,0.73492,0.66084,0.02705,0.000578672,0.000578672,0.000578672
12,7989.7,0.97258,1.15681,0.02293,0.91293,0.91354,0.96595,0.78136,0.74466,0.60748,0.0278,0.00055964,0.00055964,0.00055964
13,8297.52,0.95019,1.09459,0.02195,0.89893,0.91177,0.95958,0.74076,0.86095,0.61779,0.0331,0.000540607,0.000540607,0.000540607
14,8601.82,0.94994,1.05435,0.02225,0.89985,0.92851,0.96439,0.77958,0.73762,0.58265,0.0272,0.000521574,0.000521574,0.000521574
15,8907.52,0.93667,1.00322,0.02181,0.88217,0.92025,0.9643,0.78606,0.72537,0.56181,0.02698,0.000502541,0.000502541,0.000502541
16,9207.05,0.93944,0.9955,0.02172,0.91359,0.93569,0.97274,0.7868,0.74793,0.48704,0.02826,0.000483509,0.000483509,0.000483509
17,9508.14,0.92025,0.9152,0.02155,0.91539,0.94931,0.97804,0.80661,0.66966,0.45065,0.02457,0.000464476,0.000464476,0.000464476
